Provincia y grupos de edad,Para ver aún con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
San José,,,,,,,,
De 65 a 69 años, 1 607,511,106, 1 081,341,50,78, 5 087
De 70 a 74 años, 1 492,564,115, 1 101,297,47,87, 3 677
De 75 a 79 años, 1 146,589,85, 1 087,305,26,65, 2 352
De 80 a 84 años,915,550,136,975,225,28,72, 1 392
De 85 años y más, 1 051,913,216, 1 294,339,58,114, 1 016
Puntarenas,,,,,,,,
Menores de 1 año,16,4,2,4,7,17,2, 7 222
De 1 a 4 años,81,33,182,131,50,143,26, 29 317
De 5 a 9 años,369,148,495,195,68,376,89, 35 611
De 10 a 14 años,693,194,288,249,103,608,121, 39 125
De 15 a 19 años,776,176,243,281,131,571,145, 38 800
De 20 a 24 años,672,154,180,322,127,392,149, 35 073
De 25 a 29 años,773,169,179,352,164,352,160, 32 814
De 30 a 34 años,743,178,147,432,196,226,150, 28 539
De 35 a 39 años,805,284,186,560,223,231,144, 24 898
De 40 a 44 años, 1 855,319,156,779,315,159,193, 23 577
De 45 a 49 años, 2 935,467,196,998,409,185,187, 19 610
De 50 a 54 años, 3 296,486,151, 1 323,514,133,201, 15 841
De 55 a 59 años, 3 010,525,140, 1 549,578,89,152, 11 559
De 60 a 64 años, 2 580,605,130, 1 528,608,52,117, 8 013
De 65 a 69 años, 2 108,711,132, 1 492,506,61,114, 5 710
De 70 a 74 años, 1 752,736,148, 1 411,430,50,93, 4 014
De 75 a 79 años, 1 415,754,147, 1 268,350,29,89, 2 570
De 80 a 84 años, 1 045,719,155, 1 058,299,40,81, 1 458
De 85 años y más, 1 038,902,235, 1 225,359,48,132,859
Limón,,,,,,,,
Menores de 1 año,13,2,4,6,6,14,6, 7 188
De 1 a 4 años,81,33,192,98,52,115,36, 30 141
De 5 a 9 años,434,156,453,187,82,283,98, 36 461
De 10 a 14 años,885,236,357,215,111,426,124, 39 117
De 15 a 19 años,872,176,208,258,124,386,143, 38 321
De 20 a 24 años,742,178,187,284,145,334,148, 33 820
De 25 a 29 años,839,192,158,336,143,264,154, 30 663
De 30 a 34 años,796,193,128,449,200,224,135, 26 058
De 35 a 39 años,962,274,181,589,261,191,152, 23 709
De 40 a 44 años, 2 013,316,146,817,327,147,156, 20 999
De 45 a 49 años, 3 268,352,151,927,357,133,149, 16 967
De 50 a 54 años, 3 375,431,139, 1 204,505,104,138, 13 521
De 55 a 59 años, 2 982,495,122, 1 468,591,58,123, 9 762
De 60 a 64 años, 2 464,554,120, 1 466,478,64,88, 6 472
De 65 a 69 años, 1 840,564,111, 1 177,427,42,69, 4 162
De 70 a 74 años, 1 445,578,100, 1 093,344,35,57, 2 869
De 75 a 79 años, 1 059,536,106,871,251,37,50, 1 730
De 80 a 84 años,758,470,97,706,204,38,56, 1 003
De 85 años y más,780,637,166,863,233,30,76,608
